Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,269.250000,269.250000,263.000000,263.638000,176.467484,928388
2008-01-02,265.000000,265.250000,257.875000,262.500000,175.705795,2864924
2008-01-03,257.524994,261.250000,251.337006,252.761993,169.187576,5168280
2008-01-04,252.761993,255.725006,250.574997,251.300003,168.209030,2318868
2008-01-07,250.000000,252.199997,243.125000,243.899994,163.255783,3647344
2008-01-08,245.000000,248.000000,242.324997,246.962006,165.305283,3207732
2008-01-09,248.699997,251.500000,247.475006,249.074997,166.719711,2450128
2008-01-10,249.500000,252.375000,240.500000,245.412994,164.268478,3342376
2008-01-11,228.837006,251.000000,228.837006,247.438004,165.623932,2149188
2008-01-14,249.949997,249.949997,238.899994,240.287994,160.838028,4158864
2008-01-15,241.250000,242.000000,233.500000,235.000000,157.298477,2935588
2008-01-16,235.000000,241.675003,231.250000,236.238007,158.127167,3131956
2008-01-17,241.449997,241.500000,229.750000,230.675003,154.403503,6302096
2008-01-18,232.375000,235.000000,224.274994,225.800003,151.140457,4333816
2008-01-21,226.000000,226.175003,201.311996,207.761993,139.066605,4840032
2008-01-22,203.675003,247.500000,181.250000,200.061996,133.912537,6376872
2008-01-23,214.750000,222.500000,201.250000,217.988007,148.132721,5359120
2008-01-24,217.500000,222.000000,206.438004,210.811996,143.256317,2013336
2008-01-25,213.250000,224.425003,212.524994,221.149994,150.281448,2243116
2008-01-28,217.500000,217.500000,206.250000,213.574997,145.133896,2485660
2008-01-29,214.000000,221.149994,213.750000,216.925003,147.410370,3258712
2008-01-30,220.500000,223.000000,215.000000,217.462006,147.775238,3032856
2008-01-31,217.500000,222.500000,208.837006,218.438004,148.438507,5966956
2008-02-01,221.250000,235.274994,218.324997,232.375000,157.909424,4169520
2008-02-04,236.250000,247.250000,234.750000,243.912994,165.749893,3730520
2008-02-05,240.000000,243.750000,233.912994,238.761993,162.249634,1722872
2008-02-06,232.500000,232.500000,223.625000,226.524994,153.934021,4007952
2008-02-07,226.524994,226.524994,217.761993,219.761993,149.338226,2574652
2008-02-08,221.000000,231.250000,220.000000,224.600006,152.625870,2576820
2008-02-11,224.600006,233.000000,215.024994,226.524994,153.934021,3200988
2008-02-12,226.250000,231.250000,215.000000,216.162994,146.892548,5161328
2008-02-13,218.750000,224.250000,212.824997,217.238007,147.623108,2185376
2008-02-14,221.250000,225.000000,215.250000,218.449997,148.446671,2246480
2008-02-15,215.000000,221.761993,215.000000,218.175003,148.259811,2213044
2008-02-18,218.175003,218.750000,212.500000,213.300003,144.947006,1723160
2008-02-19,214.000000,221.000000,213.750000,218.863007,148.727356,1947288
2008-02-20,219.975006,223.662994,218.311996,221.524994,150.536301,3060624
2008-02-21,224.500000,232.750000,220.500000,228.662994,155.386871,3562052
2008-02-22,230.000000,230.225006,221.250000,225.136993,152.990784,2401516
2008-02-25,232.000000,232.250000,222.561996,225.188004,153.025452,3255460
2008-02-26,231.000000,231.000000,223.750000,224.600006,152.625870,4999584
2008-02-27,227.000000,228.712006,218.511993,219.386993,149.083420,2364056
2008-02-28,221.250000,222.500000,218.000000,220.225006,149.652832,5579004
2008-02-29,220.000000,222.925003,215.875000,219.350006,149.058243,3416480
2008-03-03,216.500000,217.175003,210.000000,212.149994,144.165543,3141328
2008-03-04,214.500000,217.500000,211.774994,214.699997,145.898407,3010532
2008-03-05,211.250000,220.699997,211.250000,218.824997,148.701538,2209348
2008-03-07,215.649994,216.524994,210.561996,211.537994,143.749634,1996828
2008-03-10,211.537994,213.500000,207.500000,208.412994,141.626114,2494168
2008-03-11,210.000000,210.000000,205.000000,205.875000,139.901398,4043520
2008-03-12,209.750000,212.500000,202.561996,205.886993,139.909561,1884412
2008-03-13,203.750000,203.750000,190.250000,194.925003,132.460327,3408600
2008-03-14,195.000000,203.225006,187.500000,200.962006,136.562820,2216056
2008-03-17,193.750000,199.425003,192.188004,197.962006,134.524170,1958904
2008-03-18,197.500000,207.199997,192.500000,204.425003,138.916061,3596080
2008-03-19,207.000000,210.000000,201.386993,202.863007,137.854630,4361924
2008-03-24,202.863007,209.375000,202.863007,205.925003,139.935410,3301984
2008-03-25,210.000000,224.962006,208.750000,219.125000,148.905380,2928896
2008-03-26,235.000000,235.000000,212.886993,219.587006,149.219299,2171768
2008-03-27,218.000000,219.000000,210.274994,213.125000,144.828094,6151152
2008-03-28,213.250000,218.675003,213.000000,217.761993,147.979141,3633696
2008-03-31,217.761993,217.761993,199.250000,202.613007,137.684738,4051860
2008-04-01,205.000000,213.225006,202.500000,208.087006,141.404633,2086728
2008-04-02,212.500000,217.250000,212.311996,212.811996,144.615402,1428844
2008-04-03,212.500000,223.000000,212.500000,221.350006,150.417358,3287172
2008-04-04,221.500000,222.475006,215.011993,218.225006,148.293808,2020844
2008-04-07,223.750000,230.024994,219.550003,226.024994,153.594223,3659528
2008-04-08,226.250000,226.750000,218.750000,221.837006,150.748306,4055352
2008-04-09,220.000000,223.000000,217.250000,219.061996,148.862534,1482600
2008-04-10,220.000000,229.912994,219.250000,224.886993,152.820892,2925932
2008-04-11,225.761993,231.250000,223.311996,227.000000,154.256805,2189264
2008-04-15,230.500000,246.250000,220.100006,243.537994,165.495148,5703772
2008-04-16,246.250000,250.500000,240.500000,242.975006,165.112534,6438768
2008-04-17,249.925003,252.500000,244.886993,250.225006,170.039230,3999556
2008-04-21,252.250000,258.750000,246.649994,248.350006,168.765091,3399296
2008-04-22,246.238007,246.238007,220.500000,221.800003,150.723145,13785196
2008-04-23,221.750000,226.425003,220.011993,222.287994,151.054749,6326156
2008-04-24,226.000000,226.225006,216.000000,222.688004,151.326599,15290096
2008-04-25,228.000000,228.000000,221.250000,222.324997,151.079895,6828568
2008-04-28,202.250000,224.000000,180.000000,220.425003,149.788788,6598136
2008-04-29,220.511993,232.500000,217.537994,227.636993,154.689667,16209848
2008-04-30,229.024994,233.938004,226.625000,230.250000,156.465347,9487980
2008-05-02,231.250000,240.500000,231.000000,235.938004,160.330566,5298780
2008-05-05,236.250000,237.375000,230.287994,231.863007,157.561386,3613764
2008-05-06,227.500000,237.500000,218.149994,234.261993,159.191605,3982796
2008-05-07,237.500000,244.975006,237.500000,241.688004,164.238007,12585540
2008-05-08,241.225006,241.250000,229.500000,236.750000,160.882355,10845832
2008-05-09,239.750000,239.750000,227.500000,229.250000,155.785782,4492296
2008-05-12,229.250000,233.712006,227.574997,231.725006,157.467621,3898508
2008-05-13,232.500000,235.350006,222.250000,226.261993,153.755295,4462876
2008-05-14,226.250000,244.738007,222.787994,242.787994,164.985458,9373188
2008-05-15,243.250000,250.500000,240.024994,246.188004,167.295944,7177896
2008-05-16,248.500000,248.500000,242.125000,245.261993,166.666672,3838648
2008-05-20,243.750000,247.500000,236.811996,239.024994,162.428299,4946904
2008-05-21,232.000000,242.000000,228.750000,241.274994,163.957291,3140184
2008-05-22,239.125000,246.375000,237.750000,240.287994,163.286575,5445200
2008-05-23,243.725006,244.925003,231.524994,233.100006,158.402054,5401384
2008-05-26,230.000000,240.725006,229.000000,238.863007,162.318253,5457272
2008-05-27,245.000000,248.500000,236.500000,242.225006,164.602875,5682072
2008-05-28,242.524994,253.811996,242.524994,252.363007,171.492096,5469588
2008-05-29,252.250000,257.087006,246.000000,248.662994,168.977753,8258940
2008-05-30,247.750000,262.250000,244.500000,259.787994,176.537720,15485284
2008-06-02,253.750000,264.350006,241.250000,245.962006,167.142319,7054764
2008-06-03,240.000000,247.500000,234.537994,243.787994,165.664993,4900256
2008-06-04,247.449997,247.449997,236.587006,239.188004,162.539093,3787856
2008-06-05,241.024994,249.199997,241.000000,245.462006,166.802536,5905256
2008-06-06,247.500000,249.662994,239.449997,241.550003,164.144180,4137784
2008-06-09,225.561996,241.225006,222.500000,228.524994,155.293060,6140140
2008-06-10,227.500000,229.750000,216.750000,219.750000,149.330063,6155372
2008-06-11,222.500000,227.500000,220.000000,222.587006,151.257996,4113368
2008-06-12,223.500000,225.600006,214.250000,222.061996,150.901169,2464004
2008-06-13,220.000000,230.475006,220.000000,227.399994,154.528610,6732432
2008-06-16,229.750000,232.000000,225.811996,227.699997,154.732513,6541784
2008-06-17,226.250000,231.750000,226.250000,230.324997,156.516266,3504824
2008-06-18,230.199997,230.250000,222.750000,225.225006,156.446808,6431336
2008-06-19,220.061996,224.500000,220.000000,222.000000,154.206619,3289068
2008-06-20,224.975006,224.975006,210.386993,215.962006,150.012512,8157760
2008-06-23,215.962006,219.863007,210.750000,214.613007,149.075500,3572312
2008-06-24,212.500000,216.925003,205.850006,211.100006,146.635239,9287176
2008-06-25,210.000000,221.250000,207.824997,219.199997,152.261688,5914196
2008-06-26,221.000000,224.500000,215.100006,220.337006,153.051514,7028316
2008-06-27,220.337006,220.337006,212.787994,216.375000,150.299362,6260948
2008-06-30,217.750000,219.500000,212.500000,214.550003,149.031708,3258044
2008-07-01,216.250000,218.000000,208.761993,211.925003,147.208313,5059616
2008-07-02,212.500000,222.000000,210.000000,219.125000,152.209625,8141112
2008-07-03,220.250000,220.250000,205.136993,214.162994,148.762894,4172528
2008-07-04,217.475006,217.511993,208.875000,211.125000,146.652557,3939584
2008-07-07,211.250000,216.000000,208.000000,213.061996,147.998047,1794132
2008-07-08,207.537994,211.250000,204.500000,207.550003,144.169327,3947624
2008-07-09,212.500000,222.488007,212.500000,219.188004,152.253372,3578548
2008-07-10,217.500000,222.250000,213.087006,217.100006,150.802979,3504368
2008-07-11,229.250000,235.750000,196.350006,199.649994,138.681793,5523784
2008-07-14,200.000000,200.000000,190.250000,191.962006,133.341476,4559896
2008-07-15,191.962006,196.613007,184.287994,187.662994,130.355286,4509844
2008-07-16,188.662994,193.412994,178.975006,182.024994,126.438995,5739900
2008-07-17,183.750000,196.725006,182.511993,195.811996,136.015884,10350716
2008-07-18,195.000000,200.500000,187.250000,198.462006,137.856583,8339496
2008-07-21,199.750000,203.750000,195.750000,203.199997,141.147690,3582068
2008-07-22,204.000000,210.988007,201.511993,207.962006,144.455521,4241164
2008-07-23,207.500000,217.500000,204.725006,215.136993,149.439438,5971420
2008-07-24,218.625000,218.625000,198.087006,200.636993,139.367355,11742336
2008-07-25,199.800003,212.375000,195.500000,199.800003,138.785980,8842536
2008-07-28,200.000000,204.238007,196.250000,201.561996,140.009888,1969372
2008-07-29,201.675003,203.449997,198.000000,202.238007,140.479523,2472192
2008-07-30,211.500000,211.500000,200.000000,209.738007,145.689178,4420076
2008-07-31,210.000000,210.500000,205.375000,208.438004,146.887161,5195580
2008-08-01,206.250000,214.238007,202.811996,210.162994,148.102783,4011724
2008-08-04,203.750000,210.000000,202.750000,203.837006,143.644806,5238928
2008-08-05,203.850006,208.750000,201.311996,207.425003,146.173325,4768200
2008-08-06,209.975006,217.488007,209.100006,215.136993,151.607971,5009932
2008-08-07,214.750000,217.475006,211.250000,213.337006,150.339523,3072320
