Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,441.649994,444.649994,435.562012,436.712006,245.136108,1000812
2008-01-02,437.500000,439.837006,428.100006,437.075012,245.339890,3077528
2008-01-03,449.250000,449.250000,422.500000,427.263000,239.832199,6212980
2008-01-04,436.850006,436.850006,420.000000,423.725006,237.846252,3083160
2008-01-07,417.500000,422.500000,405.750000,409.212006,229.699768,6627100
2008-01-08,413.750000,419.975006,405.537994,415.562012,233.264175,7765632
2008-01-09,413.750000,424.750000,411.587006,413.237000,231.959076,7357340
2008-01-10,421.850006,422.500000,397.000000,400.638000,224.887024,7749140
2008-01-11,425.000000,434.812012,391.250000,395.437988,221.968140,11316572
2008-01-14,399.750000,402.500000,381.250000,382.375000,214.635620,8025412
2008-01-15,386.000000,388.725006,375.000000,375.524994,210.790543,6393112
2008-01-16,375.000000,379.750000,367.524994,373.825012,209.836288,5563548
2008-01-17,375.000000,381.312012,371.250000,372.600006,209.148621,4849800
2008-01-18,373.250000,374.500000,362.737000,367.100006,206.061386,4068496
2008-01-21,364.975006,372.500000,326.049988,347.774994,195.213776,11084768
2008-01-22,335.000000,361.000000,313.750000,345.225006,193.782486,13840276
2008-01-23,362.250000,364.649994,343.049988,355.500000,199.550034,8913592
2008-01-24,362.250000,375.750000,348.750000,355.638000,199.627487,6971432
2008-01-25,357.500000,384.700012,357.500000,379.962006,213.281082,3325096
2008-01-28,368.500000,375.000000,351.812012,361.587006,202.966812,3894344
2008-01-29,362.500000,377.437988,362.500000,373.149994,209.457352,4520332
2008-01-30,377.750000,377.750000,368.062012,373.312012,209.548294,3569908
2008-01-31,374.000000,383.725006,367.549988,374.763000,210.362778,8942648
2008-02-01,376.500000,402.000000,376.500000,398.649994,223.771072,5571980
2008-02-04,408.625000,416.237000,401.250000,410.013000,230.149353,5680584
2008-02-05,409.250000,409.250000,396.250000,402.325012,225.833954,4010356
2008-02-06,376.250000,393.725006,375.000000,377.487000,211.891800,4972008
2008-02-07,386.424988,386.424988,368.062012,370.587006,208.018677,2089800
2008-02-08,370.000000,394.250000,369.750000,388.087006,217.841873,6590296
2008-02-11,387.500000,400.000000,380.062012,389.487000,218.627701,6989400
2008-02-12,390.000000,400.000000,383.837006,386.312012,216.845474,4231216
2008-02-13,392.500000,412.513000,375.337006,386.350006,216.866821,4946984
2008-02-14,381.375000,399.850006,381.375000,386.687988,217.056549,5874972
2008-02-15,385.000000,395.000000,375.250000,391.350006,219.673447,4476128
2008-02-18,392.500000,394.750000,385.062012,388.787994,218.235336,1633088
2008-02-19,390.000000,393.812012,381.625000,389.125000,218.424423,2678196
2008-02-20,392.750000,397.450012,389.125000,392.225006,220.164597,3501452
2008-02-21,399.975006,412.500000,393.075012,406.888000,228.395187,5183384
2008-02-22,403.000000,405.700012,392.888000,395.162994,221.813721,2485252
2008-02-25,399.700012,405.962006,395.750000,403.787994,226.655182,3796224
2008-02-26,404.750000,418.000000,402.500000,415.712006,233.348328,4201352
2008-02-27,416.250000,421.850006,403.787994,404.725006,227.181107,4216380
2008-02-28,402.250000,405.000000,398.037994,399.837006,224.437347,5853016
2008-02-29,392.500000,400.475006,380.250000,387.049988,217.259720,3972544
2008-03-03,385.250000,385.250000,362.500000,366.975006,205.991226,6182368
2008-03-04,381.024994,381.024994,352.500000,354.763000,199.136322,5399480
2008-03-05,356.250000,375.000000,351.250000,369.700012,207.520844,5698348
2008-03-07,362.500000,362.500000,350.075012,357.638000,200.750107,4582340
2008-03-10,353.500000,369.649994,350.000000,357.774994,200.827072,2828568
2008-03-11,359.750000,359.750000,351.250000,356.587006,200.160156,8021712
2008-03-12,368.500000,368.750000,344.000000,346.287994,194.379150,6813092
2008-03-13,345.000000,346.200012,327.750000,334.424988,187.720123,3940744
2008-03-14,333.750000,347.250000,332.500000,342.549988,192.280884,4811384
2008-03-17,337.000000,338.575012,327.750000,334.450012,187.734177,2916040
2008-03-18,335.000000,340.250000,325.000000,328.649994,184.478531,7365712
2008-03-19,337.487000,343.250000,329.000000,335.924988,188.562119,7818608
2008-03-24,339.312012,347.000000,335.799988,340.112000,190.912399,6798004
2008-03-25,350.412994,386.725006,347.500000,373.075012,209.415283,11369540
2008-03-26,376.250000,379.462006,362.774994,374.875000,210.425629,5909592
2008-03-27,372.513000,372.513000,356.524994,360.437988,202.321823,8346252
2008-03-28,358.000000,384.674988,355.000000,380.299988,213.470795,5914944
2008-03-31,370.500000,375.000000,351.024994,359.975006,202.061905,10099160
2008-04-01,361.274994,366.000000,352.549988,355.763000,199.697632,3144604
2008-04-02,368.750000,374.750000,366.250000,370.700012,208.082169,5576040
2008-04-03,367.524994,382.500000,367.524994,380.625000,213.653275,4889080
2008-04-04,367.750000,381.750000,358.000000,371.362000,208.453690,4014016
2008-04-07,374.750000,382.100006,369.062012,373.013000,209.380417,8048592
2008-04-08,373.000000,373.750000,363.062012,366.737000,205.857605,6192824
2008-04-09,366.737000,372.000000,362.750000,369.987000,207.681931,4514276
2008-04-10,366.250000,377.475006,360.750000,363.149994,203.844193,8565032
2008-04-11,367.500000,370.000000,353.250000,355.475006,199.535980,12067156
2008-04-15,360.000000,381.250000,355.000000,377.600006,211.955276,18201268
2008-04-16,381.250000,403.750000,380.000000,400.049988,224.556931,15305804
2008-04-17,407.487000,422.500000,405.000000,414.774994,232.822357,18459640
2008-04-21,419.750000,429.250000,407.000000,411.450012,230.956009,7410996
2008-04-22,407.500000,411.287994,395.000000,399.649994,224.332367,8398724
2008-04-23,400.000000,413.274994,399.274994,411.987000,231.257431,8316052
2008-04-24,412.500000,426.975006,408.250000,424.013000,238.007874,9173276
2008-04-25,424.987000,428.899994,412.750000,421.075012,236.358749,7947992
2008-04-28,422.500000,425.000000,412.774994,415.912994,233.461182,4314928
2008-04-29,412.500000,440.487000,410.274994,437.388000,245.515579,16983384
2008-04-30,440.000000,452.500000,432.524994,438.274994,246.013443,10499668
2008-05-02,443.750000,449.250000,442.087006,446.862000,250.833588,8674504
2008-05-05,446.750000,452.500000,441.037994,446.487000,250.623062,4896140
2008-05-06,441.399994,462.500000,434.000000,451.862000,253.640091,8891328
2008-05-07,459.225006,464.750000,454.649994,461.037994,258.790833,11042624
2008-05-08,451.250000,458.750000,436.362000,446.162994,250.441147,7768836
2008-05-09,445.250000,447.850006,434.250000,437.337006,245.486954,7206400
2008-05-12,442.350006,449.750000,423.837006,443.350006,248.862183,8150920
2008-05-13,446.250000,453.725006,428.750000,437.187988,245.403336,9024788
2008-05-14,435.000000,458.750000,435.000000,456.225006,256.089203,8111456
2008-05-15,456.000000,477.125000,456.000000,473.274994,265.659760,14491216
2008-05-16,474.250000,478.812012,465.013000,467.850006,262.614563,8432372
2008-05-20,466.250000,478.250000,453.750000,471.924988,264.901886,6984640
2008-05-21,468.500000,471.000000,463.500000,467.662994,262.509613,4279692
2008-05-22,465.000000,474.750000,461.750000,465.912994,261.527252,6138956
2008-05-23,465.912994,471.000000,454.087006,457.187988,256.629761,5849084
2008-05-26,452.500000,473.750000,447.750000,471.263000,265.809448,10698576
2008-05-27,472.500000,474.750000,466.500000,470.774994,265.534149,5161780
2008-05-28,470.750000,480.000000,469.125000,477.899994,269.552948,7714404
2008-05-29,476.250000,477.125000,464.138000,471.362000,281.941620,7949256
2008-05-30,472.500000,494.500000,466.250000,490.700012,293.508575,13807464
2008-06-02,495.000000,507.500000,485.125000,487.700012,291.714142,8325712
2008-06-03,481.250000,487.549988,470.250000,480.562012,287.444580,7794160
2008-06-04,480.000000,480.000000,463.274994,467.674988,279.736328,6409416
2008-06-05,471.924988,496.750000,467.500000,494.888000,296.013550,9572408
2008-06-06,500.000000,511.625000,495.149994,498.388000,298.107147,7408132
2008-06-09,485.263000,492.500000,471.662994,475.375000,284.342041,7013176
2008-06-10,472.500000,480.000000,449.125000,463.513000,277.246826,11695136
2008-06-11,471.250000,476.000000,465.549988,473.212006,283.048218,4809864
2008-06-12,459.024994,471.500000,457.774994,468.725006,280.364349,6200212
2008-06-13,472.750000,478.725006,463.787994,466.662994,279.131042,5139944
2008-06-16,473.975006,485.000000,470.000000,476.950012,285.284119,6318296
2008-06-17,487.500000,487.500000,470.987000,477.888000,285.845123,5377352
2008-06-18,479.500000,481.187988,463.500000,465.612000,278.502350,5200900
2008-06-19,463.500000,470.424988,459.138000,465.600006,278.495178,3347632
2008-06-20,466.250000,471.375000,454.000000,456.750000,273.201630,5847432
2008-06-23,453.899994,466.700012,450.274994,461.450012,276.012909,4816420
2008-06-24,461.450012,465.000000,441.250000,448.612000,268.333954,5436028
2008-06-25,447.500000,447.500000,425.299988,436.687988,261.201660,11147072
2008-06-26,435.024994,450.000000,435.024994,446.274994,266.936127,8580916
2008-06-27,435.037994,441.250000,423.750000,426.362000,255.025238,5705240
2008-06-30,428.750000,437.200012,427.500000,434.200012,259.713531,5842848
2008-07-01,436.000000,442.250000,426.263000,429.250000,256.752686,6179920
2008-07-02,431.250000,461.000000,430.500000,455.149994,272.244537,7189460
2008-07-03,450.312012,450.312012,433.000000,435.763000,260.648438,6084580
2008-07-04,437.000000,447.250000,432.837006,438.950012,262.554657,4816952
2008-07-07,445.000000,456.250000,443.750000,449.950012,269.134247,4161404
2008-07-08,444.250000,444.250000,427.924988,434.149994,259.683594,6498468
2008-07-09,439.000000,458.000000,438.000000,455.475006,272.439026,7502512
